"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://books.toscrape.com/catalogue/category/books/thriller_37/index.html","text/html","200","OK","Indexable","","Thriller | 
     Books to Scrape - Sandbox","42","315","","0","0","","0","Thriller","8","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","36067","36067","36067","5.345","","275","127","2.165","100.000","Very Easy","3.592","1","4","","69","69","0","25.000","76","63","0","0","0","0","","","","","3ff0c2ea6c7ed75f4ecc2c303aba35e9","0.029","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/thriller_37/index.html","2026-06-10 17:51:12"
"https://books.toscrape.com/catalogue/category/books/classics_6/index.html","text/html","200","OK","Indexable","","Classics | 
     Books to Scrape - Sandbox","42","326","","0","0","","0","Classics","8","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","47874","47874","47874","7.095","","353","175","2.017","100.000","Very Easy","3.500","1","4","","77","77","0","27.900","92","71","0","0","0","0","","","","","59e5072e8735a83065e0351bc9cc5164","0.036","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/classics_6/index.html","2026-06-10 17:51:12"
"https://books.toscrape.com/catalogue/category/books/academic_40/index.html","text/html","200","OK","Indexable","","Academic | 
     Books to Scrape - Sandbox","42","341","","0","0","","0","Academic","8","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","21359","21359","21359","3.165","","168","67","2.507","95.518","Very Easy","3.704","1","4","","59","59","0","21.380","56","53","0","0","0","0","","","","","4e0ea87242d5467c2146fd5d64468577","0.031","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/academic_40/index.html","2026-06-10 17:51:12"
"https://books.toscrape.com/catalogue/category/books/biography_36/index.html","text/html","200","OK","Indexable","","Biography | 
     Books to Scrape - Sandbox","43","340","","0","0","","0","Biography","9","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","27988","27988","27988","4.148","","216","93","2.323","100.000","Very Easy","3.695","1","4","","63","63","0","22.830","64","57","0","0","0","0","","","","","a04c79def4074f45d0d7b8087942111a","0.034","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/biography_36/index.html","2026-06-10 17:51:12"
"https://books.toscrape.com/catalogue/category/books/crime_51/index.html","text/html","200","OK","Indexable","","Crime | 
     Books to Scrape - Sandbox","39","306","","0","0","","0","Crime","5","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","21493","21493","21493","3.185","","168","67","2.507","99.547","Very Easy","3.625","1","4","","59","59","0","21.380","56","53","0","0","0","0","","","","","7b86ae629bce458f5258c9e917c2635d","0.032","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/crime_51/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","8442","8442","8442","1.251","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.034","Wed, 08 Feb 2023 21:02:32 GMT","","","","","1.1","","","","","","https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/category/books/health_47/index.html","text/html","200","OK","Indexable","","Health | 
     Books to Scrape - Sandbox","40","311","","0","0","","0","Health","6","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","26240","26240","26240","3.889","","203","86","2.360","100.000","Very Easy","3.648","1","4","","62","62","0","22.460","62","56","0","0","0","0","","","","","ca8b74ce8edce01f49a215dff372cdb0","0.031","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/health_47/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","12405","12405","12405","1.838","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.031","Wed, 08 Feb 2023 21:02:33 GMT","","","","","1.1","","","","","","https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/set-me-free_988/index.html","text/html","200","OK","Indexable","","Set Me Free | Books to Scrape - Sandbox","39","360","Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his family’s expectations. When he meets Jonas “Lucky” Luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his family’s expectations. When he meets Jonas “Lucky” Luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and the chance at true love. ...more","782","4801","","0","Set Me Free","11","Product Description","19","Product Information","19","NOARCHIVE,NOCACHE","","","","","","","","","18286","18286","18286","2.710","","280","75","3.733","95.181","Very Easy","8.697","1","2","","20","10","0","3.620","16","9","0","0","0","0","","","","","4dcf1568c0c469bec355e4db3f563f03","0.029","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/set-me-free_988/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/category/books/politics_48/index.html","text/html","200","OK","Indexable","","Politics | 
     Books to Scrape - Sandbox","42","318","","0","0","","0","Politics","8","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","24717","24717","24717","3.663","","190","80","2.375","96.671","Very Easy","3.666","1","4","","61","61","0","22.100","60","55","0","0","0","0","","","","","e83a75919a975a84ec979c089f7b38ac","0.029","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/politics_48/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html","text/html","200","OK","Indexable","","Short Stories | 
     Books to Scrape - Sandbox","47","368","","0","0","","0","Short Stories","13","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","21264","21264","21264","3.151","","167","67","2.493","97.922","Very Easy","3.687","1","4","","59","59","0","21.380","56","53","0","0","0","0","","","","","38fdf34911c9635bbb7c84c4ed7d4c85","0.031","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/category/books/parenting_28/index.html","text/html","200","OK","Indexable","","Parenting | 
     Books to Scrape - Sandbox","43","339","","0","0","","0","Parenting","9","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","21492","21492","21492","3.185","","168","68","2.471","94.549","Very Easy","3.741","1","4","","59","59","0","21.380","56","53","0","0","0","0","","","","","2706e51d83bb3cb081ff79f02ee049f1","0.119","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/parenting_28/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html","text/html","200","OK","Indexable","","The Dirty Little Secrets of Getting Your Dream Job | Books to Scrape - Sandbox","78","699","Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin’s The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin’s The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and operates MME, an advertising and marketing agency in New York City. During his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. Raskin has also mentored countless students and their parents on best practices for the job search. Over the years, Raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. He also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. Now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy.Based on his remarkable expertise, Raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job—or a new one—and finding career success. ...more","1857","11354","","0","The Dirty Little Secrets of Getting Your Dream Job","50","Product Description","19","Product Information","19","NOARCHIVE,NOCACHE","","","","","","","","","19806","19806","19806","2.935","","437","94","4.649","73.571","Fairly Easy","13.625","1","2","","20","10","0","3.620","16","9","0","0","0","0","","","","","83998158dfdd739d6eec7575b97a4e99","0.055","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html","2026-06-10 17:51:13"
"https://books.toscrape.com/catalogue/category/books/mystery_3/index.html","text/html","200","OK","Indexable","","Mystery | 
     Books to Scrape - Sandbox","41","322","","0","0","","0","Mystery","7","","0","","0","NOARCHIVE,NOCACHE","","","","","","","","","50388","50388","50388","7.468","","395","183","2.158","100.000","Very Easy","3.631","1","4","","78","78","0","28.260","95","73","0","0","0","0","","","","","c9cf4ba18fcda8b129930700fb9ecf06","0.033","Wed, 08 Feb 2023 21:02:32 GMT","","","","en-us","1.1","","","","","","https://books.toscrape.com/catalogue/category/books/mystery_3/index.html","2026-06-10 17:51:13"
